Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied
59,2984,5,5,3,7,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,2500,5,5,5,85,75.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
21,1005,1,4,1,1,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,190,3,4,3,117,107.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,3859,3,3,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
56,1062,3,3,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
69,307,4,4,3,13,16.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
37,323,3,3,3,0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
62,517,3,4,5,51,47.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
62,1014,5,4,5,33,27.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
10,695,4,4,4,6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
17,2586,5,5,4,0,15.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
39,1797,5,5,5,46,51.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
69,892,2,2,4,31,37.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
25,522,5,2,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
36,473,5,4,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34,3356,4,4,4,5,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
60,147,4,1,4,46,50.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
52,622,1,1,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
47,584,2,3,3,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
47,666,5,5,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8,853,3,4,3,10,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
25,3498,5,5,5,30,22.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
45,1749,4,4,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
53,501,2,2,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,328,3,4,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,2565,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
38,502,1,4,1,28,19.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,2026,5,5,5,3,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
56,1721,2,2,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,365,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,273,5,3,5,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
31,2939,2,4,2,14,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
19,1222,1,4,1,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
45,2857,4,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35,462,3,3,4,0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,1389,3,3,3,0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,337,2,3,2,3,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
62,1779,4,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,1747,5,5,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28,1671,4,5,4,34,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
39,3372,5,5,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
47,412,1,4,1,68,48.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
50,534,4,3,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
62,1737,2,2,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63,2704,2,3,5,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
60,116,4,3,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
46,1224,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
28,489,1,3,1,24,21.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
26,493,3,4,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
25,1096,1,4,4,167,165.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,425,5,4,5,0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
60,2521,3,2,3,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
22,1605,1,2,1,65,56.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,2542,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
72,436,2,2,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,3528,5,2,5,5,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29,337,3,5,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
63,228,3,3,3,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
25,1171,5,4,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
49,542,5,5,5,6,34.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
24,1325,5,4,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
31,2588,4,5,4,0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
58,3884,5,5,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
30,1841,5,4,5,16,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35,3235,4,4,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
61,1014,2,4,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
16,1497,3,4,3,11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
15,354,4,4,4,14,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13,557,2,3,2,35,29.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
45,152,4,4,3,35,25.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
58,3557,3,3,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,1509,2,2,3,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,1145,1,3,1,57,69.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35,2449,5,5,3,139,113.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34,1345,3,5,3,4,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
45,1593,2,2,2,10,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
57,1042,1,1,4,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
62,956,2,2,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
46,3424,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
46,814,1,1,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11,1504,4,3,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
53,3395,3,3,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
27,1864,4,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
40,577,1,4,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,2172,4,4,4,3,13.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
43,265,4,3,4,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
31,1590,5,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
54,3519,5,5,5,10,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
58,2069,2,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
56,200,1,1,1,328,337.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
29,2253,2,4,2,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
61,216,2,4,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
20,2790,4,5,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
50,2871,3,5,5,160,148.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
52,3138,4,4,3,13,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
38,1258,5,5,3,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
34,2975,5,5,3,0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,173,5,5,5,29,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,631,5,3,5,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
30,682,1,3,1,61,63.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
46,3161,3,3,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
25,447,4,4,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
45,258,4,4,4,30,41.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
17,3880,2,3,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,1444,1,1,1,11,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
28,1166,3,4,3,28,25.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
47,3511,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
41,3574,5,5,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
51,3787,3,1,3,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,1970,1,4,1,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
